"timestamp";"temperature";"humidity";"windstrength";"leafwtness";"rain"
"2023-01-05 00:00:00.000";"7.22";"99.00";"0.00";"1.00";"0.0"
"2023-01-05 01:00:00.000";"7.83";"99.00";"0.35";"1.00";"0.0"
"2023-01-05 02:00:00.000";"7.95";"99.67";"0.28";"1.00";"0.0"
"2023-01-05 03:00:00.000";"7.90";"99.33";"0.10";"1.00";"0.0"
"2023-01-05 04:00:00.000";"7.45";"99.67";"0.00";"1.00";"0.0"
"2023-01-05 05:00:00.000";"7.18";"100.00";"0.03";"1.00";"0.0"
"2023-01-05 06:00:00.000";"7.15";"100.00";"0.00";"1.00";"0.0"
"2023-01-05 07:00:00.000";"7.47";"100.00";"0.02";"1.00";"0.0"
"2023-01-05 08:00:00.000";"7.98";"100.00";"0.02";"1.00";"0.0"
"2023-01-05 09:00:00.000";"9.05";"99.33";"0.12";"1.00";"0.0"
"2023-01-05 10:00:00.000";"12.55";"81.33";"0.72";"0.33";"0.0"
"2023-01-05 11:00:00.000";"14.13";"62.83";"3.20";"0.00";"0.0"
"2023-01-05 12:00:00.000";"14.98";"59.17";"3.67";"0.00";"0.0"
"2023-01-05 13:00:00.000";"14.35";"64.67";"2.98";"0.00";"0.0"
"2023-01-05 14:00:00.000";"14.03";"67.50";"3.22";"0.00";"0.0"
"2023-01-05 15:00:00.000";"14.48";"67.17";"4.62";"0.00";"0.0"
"2023-01-05 16:00:00.000";"14.72";"68.00";"3.72";"0.00";"0.0"
"2023-01-05 17:00:00.000";"13.62";"73.67";"2.68";"0.00";"0.0"
"2023-01-05 18:00:00.000";"11.28";"83.67";"2.20";"0.00";"0.0"
"2023-01-05 19:00:00.000";"11.05";"86.00";"1.83";"0.00";"0.0"
"2023-01-05 20:00:00.000";"10.87";"87.67";"0.58";"0.00";"0.0"
"2023-01-05 21:00:00.000";"10.22";"89.50";"0.92";"0.00";"0.0"
"2023-01-05 22:00:00.000";"9.52";"91.00";"0.13";"0.00";"0.0"
"2023-01-05 23:00:00.000";"11.35";"89.50";"1.08";"0.00";"0.0"
"2023-01-06 00:00:00.000";"11.53";"86.17";"1.43";"0.00";"0.0"
"2023-01-06 01:00:00.000";"10.13";"88.50";"0.58";"0.00";"0.0"
"2023-01-06 02:00:00.000";"9.08";"88.67";"0.65";"0.00";"0.0"
"2023-01-06 03:00:00.000";"8.70";"85.50";"0.00";"0.00";"0.0"
"2023-01-06 04:00:00.000";"7.78";"90.33";"0.12";"0.00";"0.0"
"2023-01-06 05:00:00.000";"9.32";"88.33";"0.82";"0.00";"0.0"
"2023-01-06 06:00:00.000";"10.33";"85.50";"2.27";"0.00";"0.0"
